club_seed_id,country,state_province_code,state_province_name,club_name,club_type,size_tier,generation_method
50,US,AK,Alaska,Classic Association,League Organization,Medium,ai_seed_template_v1
51,US,AK,Alaska,Central Collective,League Organization,Medium,ai_seed_template_v1
52,US,AK,Alaska,Heritage Pickleball Rec Club,Private Athletic Club,Large,ai_seed_template_v1
53,US,AK,Alaska,Heritage Dink Association,Retirement Community Club,Tiny,ai_seed_template_v1
54,US,AZ,Arizona,Southside Paddle Racquet & Paddle Club,Retirement Community Club,Medium,ai_seed_template_v1
55,US,AZ,Arizona,Canyon Pickleball Racquet & Paddle Club,Public Park Club,Small,ai_seed_template_v1
56,US,AZ,Arizona,Sonoran Court Community,Indoor Facility Club,Medium,ai_seed_template_v1
57,US,AZ,Arizona,Four Corners Pickleball Club,Retirement Community Club,Small,ai_seed_template_v1
58,US,AZ,Arizona,Canyon Court Society,Community Recreation Club,Small,ai_seed_template_v1
59,US,AZ,Arizona,Mesa Court Club,Retirement Community Club,Tiny,ai_seed_template_v1
60,US,AZ,Arizona,Active Life Crew,Tournament Club,Small,ai_seed_template_v1
61,US,AZ,Arizona,Scottsdale Dink Association,Indoor Facility Club,Medium,ai_seed_template_v1
62,US,AZ,Arizona,Premier Academy,Retirement Community Club,Medium,ai_seed_template_v1
63,US,AZ,Arizona,Scottsdale Pickleball Center,Tournament Club,Medium,ai_seed_template_v1
64,US,AZ,Arizona,Eastside Court League,Retirement Community Club,Large,ai_seed_template_v1
65,US,AZ,Arizona,Golden Paddle Rally Athletic Club,Retirement Community Club,Large,ai_seed_template_v1
66,US,AZ,Arizona,Pacesetter Pickleball Club,Retirement Community Club,Small,ai_seed_template_v1
67,US,AZ,Arizona,Desert Ridge Rec Club,Retirement Community Club,Medium,ai_seed_template_v1
68,US,AZ,Arizona,Cactus Valley Academy,Retirement Community Club,Small,ai_seed_template_v1
69,US,AZ,Arizona,Home Court Pickleball Club,Tournament Club,Medium,ai_seed_template_v1
70,US,AZ,Arizona,Desert Ridge Paddle Racquet & Paddle Club,Competitive Training Club,Medium,ai_seed_template_v1
71,US,AZ,Arizona,True North Center,Retirement Community Club,Tiny,ai_seed_template_v1
72,US,AZ,Arizona,All-Court Court League,Retirement Community Club,Tiny,ai_seed_template_v1
73,US,AZ,Arizona,Cactus Valley Paddle Crew,Retirement Community Club,Medium,ai_seed_template_v1
74,US,AZ,Arizona,Premier Pickleball Club,Indoor Facility Club,Medium,ai_seed_template_v1
75,US,AZ,Arizona,Cactus Valley Court Racquet & Paddle Club,Tournament Club,Medium,ai_seed_template_v1
76,US,AZ,Arizona,Scottsdale Dink Center,League Organization,Medium,ai_seed_template_v1
77,US,AZ,Arizona,Canyon Court Association,Public Park Club,Small,ai_seed_template_v1
78,US,AZ,Arizona,Sonoran Paddle Society,Retirement Community Club,Small,ai_seed_template_v1
79,US,AZ,Arizona,Cornerstone Athletic Club,Indoor Facility Club,Tiny,ai_seed_template_v1
80,US,AZ,Arizona,Red Rock Crew,Public Park Club,Medium,ai_seed_template_v1
81,US,AZ,Arizona,True North Drop Shot Association,Social Club,Small,ai_seed_template_v1
82,US,AZ,Arizona,Heritage Kitchen Athletic Club,Community Recreation Club,Tiny,ai_seed_template_v1
83,US,AZ,Arizona,Red Rock Dink Community,Indoor Facility Club,Tiny,ai_seed_template_v1
84,US,AZ,Arizona,Active Life Collective,Community Recreation Club,Small,ai_seed_template_v1
85,US,AZ,Arizona,Red Rock Pickleball Club,Tournament Club,Tiny,ai_seed_template_v1
86,US,AZ,Arizona,Cactus Valley Paddle Society,Private Athletic Club,Small,ai_seed_template_v1
87,US,AZ,Arizona,Valley Paddle Athletic Club,Social Club,Small,ai_seed_template_v1
88,US,AZ,Arizona,Open Play Racquet & Paddle Club,Retirement Community Club,Small,ai_seed_template_v1
89,US,AZ,Arizona,Cactus Valley Rally Club,Private Athletic Club,Small,ai_seed_template_v1
90,US,AZ,Arizona,Scottsdale Court Rec Club,Public Park Club,Tiny,ai_seed_template_v1
91,US,AZ,Arizona,Cactus Valley Paddle Academy,Social Club,Tiny,ai_seed_template_v1
92,US,AZ,Arizona,Next Point Pickleball Club,League Organization,Small,ai_seed_template_v1
93,US,AZ,Arizona,Mesa Paddle Crew,Competitive Training Club,Tiny,ai_seed_template_v1
94,US,AZ,Arizona,Match Point Pickleball Rec Club,Retirement Community Club,Small,ai_seed_template_v1
95,US,AZ,Arizona,Canyon Paddle Club,Retirement Community Club,Small,ai_seed_template_v1
96,US,AZ,Arizona,Mesa Court Association,Public Park Club,Small,ai_seed_template_v1
97,US,AZ,Arizona,Canyon Baseline Center,Competitive Training Club,Small,ai_seed_template_v1
98,US,AZ,Arizona,Sonoran Racquet & Paddle Club,Community Recreation Club,Tiny,ai_seed_template_v1
99,US,AZ,Arizona,Baseline Association,Community Recreation Club,Tiny,ai_seed_template_v1
100,US,AZ,Arizona,Red Rock Pickleball Athletic Club,Tournament Club,Medium,ai_seed_template_v1
101,US,AZ,Arizona,Baseline Pickleball Club,Public Park Club,Small,ai_seed_template_v1
102,US,AZ,Arizona,Lakeside Collective,Retirement Community Club,Small,ai_seed_template_v1
103,US,AZ,Arizona,Cactus Valley Paddle Rec Club,Retirement Community Club,Tiny,ai_seed_template_v1
104,US,AZ,Arizona,True North League,Retirement Community Club,Small,ai_seed_template_v1
105,US,AZ,Arizona,Scottsdale Side Out Association,Private Athletic Club,Small,ai_seed_template_v1
106,US,AZ,Arizona,Home Court League,Indoor Facility Club,Small,ai_seed_template_v1
107,US,AZ,Arizona,Sonoran Rally Club,Retirement Community Club,Tiny,ai_seed_template_v1
108,US,AZ,Arizona,Premier Paddle Club,Public Park Club,Tiny,ai_seed_template_v1
109,US,AZ,Arizona,Cactus Valley Dink Association,Social Club,Small,ai_seed_template_v1
110,US,AZ,Arizona,Scottsdale Rally League,Indoor Facility Club,Tiny,ai_seed_template_v1
111,US,AZ,Arizona,Pioneer Rally Center,Competitive Training Club,Large,ai_seed_template_v1
112,US,AZ,Arizona,Red Rock Paddle Club,Retirement Community Club,Small,ai_seed_template_v1
113,US,AZ,Arizona,Cactus Valley Pickleball Center,Competitive Training Club,Medium,ai_seed_template_v1
114,US,AZ,Arizona,Eastside Court Academy,Retirement Community Club,Mega,ai_seed_template_v1
115,US,AZ,Arizona,Summit Paddle Pickleball Club,Competitive Training Club,Tiny,ai_seed_template_v1
116,US,AZ,Arizona,Match Point Rally Center,Retirement Community Club,Small,ai_seed_template_v1
117,US,AZ,Arizona,Desert Ridge Dink League,League Organization,Small,ai_seed_template_v1
118,US,AZ,Arizona,Civic Court Association,Social Club,Small,ai_seed_template_v1
119,US,AZ,Arizona,Cactus Valley Pickleball Racquet & Paddle Club,Retirement Community Club,Medium,ai_seed_template_v1
120,US,AZ,Arizona,Mesa Dink Rec Club,Private Athletic Club,Tiny,ai_seed_template_v1
121,US,AZ,Arizona,Red Rock Paddle Racquet & Paddle Club,Community Recreation Club,Small,ai_seed_template_v1
122,US,AZ,Arizona,Cactus Valley Pickleball Club,Social Club,Tiny,ai_seed_template_v1
123,US,AZ,Arizona,Cactus Valley Court League,Indoor Facility Club,Small,ai_seed_template_v1
124,US,AZ,Arizona,Classic Pickleball Club,Retirement Community Club,Small,ai_seed_template_v1
125,US,AZ,Arizona,Desert Ridge League,Community Recreation Club,Small,ai_seed_template_v1
126,US,AZ,Arizona,Classic Athletic Club,League Organization,Tiny,ai_seed_template_v1
127,US,AZ,Arizona,Four Corners Lob Athletic Club,Retirement Community Club,Medium,ai_seed_template_v1
128,US,AZ,Arizona,Desert Ridge Pickleball Paddle Club,Social Club,Small,ai_seed_template_v1
129,US,AZ,Arizona,Match Point Third Shot Community,Community Recreation Club,Tiny,ai_seed_template_v1
130,US,AZ,Arizona,Mesa Paddle Rec Club,Retirement Community Club,Small,ai_seed_template_v1
131,US,AZ,Arizona,Heritage Pickleball Club,Competitive Training Club,Tiny,ai_seed_template_v1
132,US,AZ,Arizona,Uptown Kitchen Club,Social Club,Medium,ai_seed_template_v1
133,US,AZ,Arizona,Desert Ridge Pickleball Athletic Club,Retirement Community Club,Small,ai_seed_template_v1
134,US,AZ,Arizona,Mesa Racquet & Paddle Club,Public Park Club,Small,ai_seed_template_v1
135,US,AZ,Arizona,Mesa Rally League,Retirement Community Club,Tiny,ai_seed_template_v1
136,US,AZ,Arizona,Victory Court Academy,Competitive Training Club,Medium,ai_seed_template_v1
137,US,AZ,Arizona,Highland Racquet & Paddle Club,Social Club,Tiny,ai_seed_template_v1
138,US,AZ,Arizona,Uptown Rally Athletic Club,Community Recreation Club,Tiny,ai_seed_template_v1
139,US,AZ,Arizona,Victory Pickleball Club,Indoor Facility Club,Medium,ai_seed_template_v1
140,US,AZ,Arizona,Desert Ridge Court Club,League Organization,Tiny,ai_seed_template_v1
141,US,AZ,Arizona,Canyon Dink Rec Club,Retirement Community Club,Medium,ai_seed_template_v1
142,US,AZ,Arizona,Cactus Valley Dink Pickleball Club,Private Athletic Club,Small,ai_seed_template_v1
143,US,AZ,Arizona,Desert Ridge Rally Crew,Tournament Club,Small,ai_seed_template_v1
144,US,AZ,Arizona,Scottsdale League,Retirement Community Club,Small,ai_seed_template_v1
145,US,AZ,Arizona,All-Court Pickleball Club,Retirement Community Club,Medium,ai_seed_template_v1
146,US,AZ,Arizona,Desert Ridge Rally Racquet & Paddle Club,Private Athletic Club,Small,ai_seed_template_v1
147,US,AZ,Arizona,Victory Dink Academy,Community Recreation Club,Tiny,ai_seed_template_v1
148,US,AZ,Arizona,Canyon Rally Collective,Retirement Community Club,Tiny,ai_seed_template_v1
149,US,AZ,Arizona,Red Rock Paddle Rec Club,Social Club,Small,ai_seed_template_v1
150,US,AZ,Arizona,Red Rock Court Paddle Club,Competitive Training Club,Large,ai_seed_template_v1
151,US,AZ,Arizona,Cactus Valley Society,Social Club,Small,ai_seed_template_v1
152,US,AZ,Arizona,Open Play Drop Shot Association,Competitive Training Club,Small,ai_seed_template_v1
153,US,AZ,Arizona,Cactus Valley Court Athletic Club,Retirement Community Club,Medium,ai_seed_template_v1
154,US,AZ,Arizona,Canyon Society,League Organization,Small,ai_seed_template_v1
155,US,AZ,Arizona,Desert Ridge Center,Retirement Community Club,Tiny,ai_seed_template_v1
156,US,AZ,Arizona,Pioneer Dink Pickleball Club,League Organization,Medium,ai_seed_template_v1
157,US,AZ,Arizona,Community Community,Retirement Community Club,Small,ai_seed_template_v1
158,US,AZ,Arizona,Cactus Valley Rally Racquet & Paddle Club,Tournament Club,Medium,ai_seed_template_v1
159,US,AZ,Arizona,Match Point Pickleball Club,Retirement Community Club,Medium,ai_seed_template_v1
160,US,AZ,Arizona,Victory Association,League Organization,Tiny,ai_seed_template_v1
161,US,AZ,Arizona,Mesa Net League,Community Recreation Club,Tiny,ai_seed_template_v1
162,US,AZ,Arizona,Scottsdale Rally Crew,Community Recreation Club,Tiny,ai_seed_template_v1
163,US,AZ,Arizona,Sonoran Paddle League,Indoor Facility Club,Small,ai_seed_template_v1
164,US,AZ,Arizona,Canyon Dink League,Community Recreation Club,Small,ai_seed_template_v1
165,US,AZ,Arizona,Mesa Dink Club,Retirement Community Club,Tiny,ai_seed_template_v1
166,US,AZ,Arizona,Desert Ridge Rally Community,Retirement Community Club,Small,ai_seed_template_v1
167,US,AR,Arkansas,Little Rock Court Rec Club,Tournament Club,Medium,ai_seed_template_v1
168,US,AR,Arkansas,Northside Dink Racquet & Paddle Club,Public Park Club,Small,ai_seed_template_v1
169,US,AR,Arkansas,River Valley Dink Society,Indoor Facility Club,Tiny,ai_seed_template_v1
170,US,AR,Arkansas,River Valley Paddle Athletic Club,League Organization,Tiny,ai_seed_template_v1
171,US,AR,Arkansas,Riverside Court Paddle Club,Community Recreation Club,Small,ai_seed_template_v1
172,US,AR,Arkansas,River Valley Crew,Tournament Club,Small,ai_seed_template_v1
173,US,AR,Arkansas,Heritage Baseline Crew,Retirement Community Club,Tiny,ai_seed_template_v1
174,US,AR,Arkansas,Open Play Drop Shot Association,Social Club,Small,ai_seed_template_v1
175,US,AR,Arkansas,Baseline Pickleball Club,League Organization,Medium,ai_seed_template_v1
176,US,AR,Arkansas,Natural State Paddle League,Competitive Training Club,Medium,ai_seed_template_v1
177,US,AR,Arkansas,River Valley Paddle League,Social Club,Tiny,ai_seed_template_v1
178,US,AR,Arkansas,Open Play Pickleball Club,Tournament Club,Small,ai_seed_template_v1
179,US,AR,Arkansas,Ozark Pickleball Athletic Club,League Organization,Small,ai_seed_template_v1
180,US,AR,Arkansas,Ozark League,Tournament Club,Small,ai_seed_template_v1
181,US,AR,Arkansas,Ace Point Pickleball Club,Private Athletic Club,Small,ai_seed_template_v1
182,US,AR,Arkansas,Prime Time Pickleball Club,Public Park Club,Medium,ai_seed_template_v1
183,US,AR,Arkansas,Ozark Dink League,Competitive Training Club,Tiny,ai_seed_template_v1
184,US,AR,Arkansas,Baseline Smash League,League Organization,Tiny,ai_seed_template_v1
185,US,AR,Arkansas,Open Play Paddle Club,Tournament Club,Small,ai_seed_template_v1
186,US,AR,Arkansas,Westside Rec Club,Indoor Facility Club,Small,ai_seed_template_v1
187,US,AR,Arkansas,River Valley Paddle Collective,Retirement Community Club,Tiny,ai_seed_template_v1
188,US,AR,Arkansas,Ozark Court Racquet & Paddle Club,Tournament Club,Medium,ai_seed_template_v1
189,US,AR,Arkansas,Community Lob Crew,Indoor Facility Club,Tiny,ai_seed_template_v1
190,US,AR,Arkansas,Delta Ridge Baseline Association,Indoor Facility Club,Small,ai_seed_template_v1
191,US,AR,Arkansas,Little Rock Pickleball Community,Tournament Club,Tiny,ai_seed_template_v1
192,US,AR,Arkansas,Heritage Pickleball Club,Social Club,Small,ai_seed_template_v1
193,US,AR,Arkansas,Pacesetter Court Academy,Retirement Community Club,Medium,ai_seed_template_v1
194,US,AR,Arkansas,River Valley Rally Pickleball Club,Tournament Club,Medium,ai_seed_template_v1
195,US,AR,Arkansas,Delta Ridge League,Private Athletic Club,Tiny,ai_seed_template_v1
196,US,AR,Arkansas,Westside Pickleball Society,Social Club,Medium,ai_seed_template_v1
197,US,CA,California,Heritage Rally Society,Retirement Community Club,Tiny,ai_seed_template_v1
198,US,CA,California,Prime Time Pickleball Racquet & Paddle Club,Tournament Club,Medium,ai_seed_template_v1
199,US,CA,California,Bay Area Paddle Rec Club,Public Park Club,Tiny,ai_seed_template_v1
200,US,CA,California,Bay Area Court Rec Club,Tournament Club,Tiny,ai_seed_template_v1
201,US,CA,California,Golden State Paddle Society,Tournament Club,Medium,ai_seed_template_v1
202,US,CA,California,Golden State Pickleball Academy,Private Athletic Club,Tiny,ai_seed_template_v1
203,US,CA,California,Central Valley Court Pickleball Club,Tournament Club,Small,ai_seed_template_v1
204,US,CA,California,San Diego Paddle Club,Public Park Club,Large,ai_seed_template_v1
205,US,CA,California,Golden State Rally Athletic Club,Retirement Community Club,Small,ai_seed_template_v1
206,US,CA,California,Redwood Court Club,League Organization,Tiny,ai_seed_template_v1
207,US,CA,California,Four Corners Serve Center,Community Recreation Club,Medium,ai_seed_template_v1
208,US,CA,California,SoCal Paddle Athletic Club,League Organization,Small,ai_seed_template_v1
209,US,CA,California,Pioneer Pickleball Community,Competitive Training Club,Medium,ai_seed_template_v1
210,US,CA,California,Parkside Dink League,Indoor Facility Club,Medium,ai_seed_template_v1
211,US,CA,California,Bay Area Rally Rec Club,Tournament Club,Tiny,ai_seed_template_v1
212,US,CA,California,Central Valley Court Racquet & Paddle Club,Competitive Training Club,Tiny,ai_seed_template_v1
213,US,CA,California,Pacesetter Third Shot Paddle Club,Social Club,Tiny,ai_seed_template_v1
214,US,CA,California,Downtown Drop Shot Society,Community Recreation Club,Small,ai_seed_template_v1
215,US,CA,California,Bay Area Paddle Association,Public Park Club,Tiny,ai_seed_template_v1
216,US,CA,California,Classic Pickleball Club,Private Athletic Club,Medium,ai_seed_template_v1
217,US,CA,California,Pacific Coast Rally Association,Indoor Facility Club,Tiny,ai_seed_template_v1
218,US,CA,California,Metro Court Association,Indoor Facility Club,Tiny,ai_seed_template_v1
219,US,CA,California,Orange County Paddle Club,Retirement Community Club,Medium,ai_seed_template_v1
220,US,CA,California,Orange County Rally Athletic Club,Community Recreation Club,Tiny,ai_seed_template_v1
221,US,CA,California,Pacific Coast Pickleball Athletic Club,Tournament Club,Small,ai_seed_template_v1
222,US,CA,California,Pacesetter Pickleball Club,Community Recreation Club,Tiny,ai_seed_template_v1
223,US,CA,California,Heritage Lob Academy,Tournament Club,Tiny,ai_seed_template_v1
224,US,CA,California,Heritage Racquet & Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
225,US,CA,California,SoCal Academy,Competitive Training Club,Large,ai_seed_template_v1
226,US,CA,California,Sierra Court Academy,Private Athletic Club,Small,ai_seed_template_v1
227,US,CA,California,Redwood Side Out Paddle Club,Tournament Club,Small,ai_seed_template_v1
228,US,CA,California,Next Point Academy,Social Club,Medium,ai_seed_template_v1
229,US,CA,California,Classic Pickleball Rec Club,Social Club,Small,ai_seed_template_v1
230,US,CA,California,Bay Area Rally Racquet & Paddle Club,Indoor Facility Club,Small,ai_seed_template_v1
231,US,CA,California,Active Life Center,Social Club,Tiny,ai_seed_template_v1
232,US,CA,California,Central Valley Pickleball Paddle Club,Private Athletic Club,Medium,ai_seed_template_v1
233,US,CA,California,SoCal Court Association,Social Club,Tiny,ai_seed_template_v1
234,US,CA,California,Central Valley Pickleball Center,Tournament Club,Tiny,ai_seed_template_v1
235,US,CA,California,Orange County Academy,Indoor Facility Club,Tiny,ai_seed_template_v1
236,US,CA,California,Central Valley Smash Club,Tournament Club,Small,ai_seed_template_v1
237,US,CA,California,Match Point Athletic Club,Community Recreation Club,Tiny,ai_seed_template_v1
238,US,CA,California,Redwood Pickleball Crew,Tournament Club,Tiny,ai_seed_template_v1
239,US,CA,California,Redwood Paddle Center,Private Athletic Club,Small,ai_seed_template_v1
240,US,CA,California,Community Society,League Organization,Small,ai_seed_template_v1
241,US,CA,California,Sierra Rally Racquet & Paddle Club,League Organization,Large,ai_seed_template_v1
242,US,CA,California,Victory Pickleball Club,Retirement Community Club,Small,ai_seed_template_v1
243,US,CA,California,Central Valley Dink Racquet & Paddle Club,Community Recreation Club,Small,ai_seed_template_v1
244,US,CA,California,Central Valley Court Collective,Social Club,Small,ai_seed_template_v1
245,US,CA,California,Bay Area Rally Collective,Social Club,Tiny,ai_seed_template_v1
246,US,CA,California,Heritage Academy,Social Club,Tiny,ai_seed_template_v1
247,US,CA,California,SoCal Pickleball Athletic Club,Social Club,Tiny,ai_seed_template_v1
248,US,CA,California,Valley Court League,Indoor Facility Club,Small,ai_seed_template_v1
249,US,CA,California,Bay Area Club,League Organization,Small,ai_seed_template_v1
250,US,CA,California,Match Point Racquet & Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
251,US,CA,California,SoCal Pickleball Club,Tournament Club,Small,ai_seed_template_v1
252,US,CA,California,Pacific Coast Lob Athletic Club,Tournament Club,Tiny,ai_seed_template_v1
253,US,CA,California,Golden Paddle Pickleball Club,League Organization,Tiny,ai_seed_template_v1
254,US,CA,California,Classic Court Rec Club,Indoor Facility Club,Tiny,ai_seed_template_v1
255,US,CA,California,Four Corners Center,Tournament Club,Small,ai_seed_template_v1
256,US,CA,California,Redwood Court Center,Social Club,Tiny,ai_seed_template_v1
257,US,CA,California,Sierra Rally Athletic Club,Private Athletic Club,Small,ai_seed_template_v1
258,US,CA,California,Next Point Pickleball Club,Retirement Community Club,Medium,ai_seed_template_v1
259,US,CA,California,Heritage Dink Crew,Community Recreation Club,Tiny,ai_seed_template_v1
260,US,CA,California,SoCal Pickleball Community,Social Club,Large,ai_seed_template_v1
261,US,CA,California,Golden State Pickleball Club,Public Park Club,Small,ai_seed_template_v1
262,US,CA,California,San Diego Athletic Club,Competitive Training Club,Tiny,ai_seed_template_v1
263,US,CA,California,Civic Rally Center,Indoor Facility Club,Medium,ai_seed_template_v1
264,US,CA,California,SoCal Collective,Tournament Club,Small,ai_seed_template_v1
265,US,CA,California,Pacific Coast Court Racquet & Paddle Club,Retirement Community Club,Tiny,ai_seed_template_v1
266,US,CA,California,San Diego Paddle Athletic Club,Private Athletic Club,Small,ai_seed_template_v1
267,US,CA,California,Orange County Lob Athletic Club,Indoor Facility Club,Tiny,ai_seed_template_v1
268,US,CA,California,Pacific Coast Society,Tournament Club,Medium,ai_seed_template_v1
269,US,CA,California,Pacesetter Paddle Community,Private Athletic Club,Large,ai_seed_template_v1
270,US,CA,California,Central Valley Dink Society,Tournament Club,Large,ai_seed_template_v1
271,US,CA,California,Westside Racquet & Paddle Club,Private Athletic Club,Small,ai_seed_template_v1
272,US,CA,California,Premier Club,Social Club,Small,ai_seed_template_v1
273,US,CA,California,Heritage Rally Center,Competitive Training Club,Medium,ai_seed_template_v1
274,US,CA,California,Golden State Collective,Public Park Club,Small,ai_seed_template_v1
275,US,CA,California,Riverside Paddle Club,Retirement Community Club,Medium,ai_seed_template_v1
276,US,CA,California,True North Pickleball Club,League Organization,Medium,ai_seed_template_v1
277,US,CA,California,Riverside Pickleball Association,Indoor Facility Club,Tiny,ai_seed_template_v1
278,US,CA,California,Eastside Court Pickleball Club,Tournament Club,Tiny,ai_seed_template_v1
279,US,CA,California,Central Valley Dink Academy,Indoor Facility Club,Small,ai_seed_template_v1
280,US,CA,California,True North Racquet & Paddle Club,Private Athletic Club,Medium,ai_seed_template_v1
281,US,CA,California,SoCal Paddle Pickleball Club,Tournament Club,Small,ai_seed_template_v1
282,US,CA,California,Community Pickleball Club,Public Park Club,Tiny,ai_seed_template_v1
283,US,CA,California,San Diego Rally Center,Competitive Training Club,Tiny,ai_seed_template_v1
284,US,CA,California,Southside Pickleball Athletic Club,Retirement Community Club,Tiny,ai_seed_template_v1
285,US,CA,California,Sierra Rally Center,Competitive Training Club,Small,ai_seed_template_v1
286,US,CA,California,Pacific Coast Rally Rec Club,Retirement Community Club,Small,ai_seed_template_v1
287,US,CA,California,Premier Association,Tournament Club,Small,ai_seed_template_v1
288,US,CA,California,Bay Area Dink Crew,Retirement Community Club,Small,ai_seed_template_v1
289,US,CA,California,Sierra Paddle Racquet & Paddle Club,Social Club,Medium,ai_seed_template_v1
290,US,CA,California,San Diego Third Shot Association,Tournament Club,Medium,ai_seed_template_v1
291,US,CA,California,Pacesetter Baseline Club,Tournament Club,Tiny,ai_seed_template_v1
292,US,CA,California,Civic Court Club,Tournament Club,Small,ai_seed_template_v1
293,US,CA,California,Pacesetter Paddle Academy,Community Recreation Club,Small,ai_seed_template_v1
294,US,CA,California,Home Court Pickleball Club,Retirement Community Club,Tiny,ai_seed_template_v1
295,US,CA,California,Pacific Coast Racquet & Paddle Club,Indoor Facility Club,Small,ai_seed_template_v1
296,US,CA,California,Golden State Paddle Association,Indoor Facility Club,Tiny,ai_seed_template_v1
297,US,CA,California,Southside Pickleball Club,Social Club,Medium,ai_seed_template_v1
298,US,CA,California,Classic Court Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
